from_address,to_address,tx_hash,timestamp,token_address,reserve_address,token_volume,asset_price,usd_token_amount,block_number
0x0000000000000000000000000000000000000000,0x9E9561666759943285dBF775475B6E6ED28Bf1D4,0x0839426218c6d9b39fbc2c7838ce35f6c7d216517b835d621f3750f3875d1d06,1707038487,0xaA9c890CA3E6B163487dE3C11847B50e48230b45,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,6648518,0.9998998,6.647851818496401,52650698
0x0000000000000000000000000000000000000000,0x9E9561666759943285dBF775475B6E6ED28Bf1D4,0xc8420aab8b7145dad2d5c799789929ee4f69b5127b66f60917a64ed6aaf168d2,1707037664,0x893DA3225a2FCF13cCA674d1A1bb5a2eA1F3DD14,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,15000000,0.9998998,14.998497,52648292
0x0000000000000000000000000000000000000000,0xCE4975E63b6e737c41C9c0e5aCd248Ef0145B51A,0x0839426218c6d9b39fbc2c7838ce35f6c7d216517b835d621f3750f3875d1d06,1707038487,0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,44,0.9998998,4.39955912e-05,52650698
0x0000000000000000000000000000000000000000,0xCE4975E63b6e737c41C9c0e5aCd248Ef0145B51A,0x9674e85df93d9e520065ea80470e805f7be4b9330dee56cdb16bede92bb3c52c,1707025412,0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,56,0.9998998,5.59943888e-05,52613951
0x0000000000000000000000000000000000000000,0x687bD49516Dc9a066e9c43f3AF8bB439317D31c0,0x9674e85df93d9e520065ea80470e805f7be4b9330dee56cdb16bede92bb3c52c,1707025412,0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1000000,0.9998998,0.9998998,52613951
0x0000000000000000000000000000000000000000,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0xcaab1fccd293f9174d9702b07d76d2704cf7dbb2450e3ccb1559a4919a3c330f,1707009215,0xaA9c890CA3E6B163487dE3C11847B50e48230b45,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,9657929,0.9998998,9.6569612755142,52572792
0x0000000000000000000000000000000000000000,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0x17d8e6e94fb0f1af213afd7f387ae63c0ab1cec9a856253b0139a81bba87f51b,1707009256,0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,9657929,0.9998998,9.6569612755142,52572879
0x0000000000000000000000000000000000000000,0xCE4975E63b6e737c41C9c0e5aCd248Ef0145B51A,0x3e1a8bee8c7da8b6bb2d2533b5f905e437e352d4604c92aafcf2777e23c61dc9,1707001819,0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,24,0.9998998,2.39975952e-05,52558523
0x0000000000000000000000000000000000000000,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0x3e1a8bee8c7da8b6bb2d2533b5f905e437e352d4604c92aafcf2777e23c61dc9,1707001819,0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,12194355,0.9998998,12.193133125629,52558523
0x0000000000000000000000000000000000000000,0x687bD49516Dc9a066e9c43f3AF8bB439317D31c0,0xc7e0d92f4e0ea4cbe64b27f8b37fcaeec2b2344fe9738c16adec247f06950fb2,1706893336,0xaA9c890CA3E6B163487dE3C11847B50e48230b45,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1187050,0.9998998,1.1869310575899998,52298820
0x0000000000000000000000000000000000000000,0x687bD49516Dc9a066e9c43f3AF8bB439317D31c0,0x9fabdb06a91ecd3e6addcb128cec35df6866c7c8d3ad65ca6df91f2e5d83c426,1706891478,0x893DA3225a2FCF13cCA674d1A1bb5a2eA1F3DD14,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1500000,0.9998998,1.4998497,52293865
0x0000000000000000000000000000000000000000,0x372a3Be718bd2c73F521be2382b0AbCD01ba929a,0x679b68b458f8b1e1ed39c916970b9a9ff6140941d3382300cb75d7c32e59dc66,1705789017,0x067DDc903148968d49AbC3144fd7619820F16949,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,5000000000000000000,0.9998998,4999499000000.0,49081898
0x0000000000000000000000000000000000000000,0x372a3Be718bd2c73F521be2382b0AbCD01ba929a,0x243756eb263a348573d61b14e3869b04a819cf10bca3527fc0a92fd7604c0f15,1705789093,0xc3B515BCa486520483EF182c3128F72ce270C069,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,2000000000000000,0.9998998,1999799600.0,49082038
0x0000000000000000000000000000000000000000,0x372a3Be718bd2c73F521be2382b0AbCD01ba929a,0xe992e080b2a8a556381e922ba4c20a0357e611146947fef9f4e7fea28a413287,1705789033,0xF91798762cc61971df6Df0e15F0904e174387477,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,20000,0.9998998,0.019997996,49081930
0x0000000000000000000000000000000000000000,0x372a3Be718bd2c73F521be2382b0AbCD01ba929a,0xa5b8d79e14db7ca5908a8cb4073b72228b0b7bc49b8bae6771e900a1c4dd86a1,1705789078,0x893DA3225a2FCF13cCA674d1A1bb5a2eA1F3DD14,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,5000000,0.9998998,4.999499,49082002
0x0000000000000000000000000000000000000000,0x372a3Be718bd2c73F521be2382b0AbCD01ba929a,0x4700d8bff1a31ff6d2ec19670d89cb4daee8d444a212357e7c05dfc972f30619,1705789063,0x833b5C0379A597351c6Cd3eFE246534bf3aE5f9F,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,5000000,0.9998998,4.999499,49081971
